"caminho","tipo","mapas internos","imagens","textuais","objetivo","disciplina","assunto","únicos","duplicados","templates","direto","local","órfão"
"src/data/apostilas/legislacao-penal-especial-avancada.js","JS","120","0","120","OAB","Direito Penal","tratamento penal mais rigoroso, equipara[caractere ilegivel][caractere ilegivel]es constitucionais e consequ[caractere ilegivel]ncias processuais","42","78","0","sim","não","não"
"src/data/apostilas/legislacao-pmma-questoes-por-artigo.js","JS","140","0","140","Polícia Militar","Direito Constitucional","miss[caractere ilegivel]o, hierarquia e disciplina formam a base da organiza[caractere ilegivel][caractere ilegivel]o militar estadual","70","70","0","sim","não","não"
"src/data/apostilas/licitacoes-contratos-modulo-exclusivo.js","JS","120","0","120","Tribunais","Direito Administrativo","licitação como instrumento para contratar solução vantajosa e controlar risco","51","69","0","sim","não","não"
"src/data/apostilas/matematica-raciocinio-logico-avancado.js","JS","80","0","80","OAB","Ética Profissional","l[caractere ilegivel]gica proposicional","40","40","0","sim","não","não"
"src/data/apostilas/oab-1fase-direito-administrativo.js","JS","120","0","120","OAB","Direito Constitucional","Princípios administrativos e regime jurídico","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-direito-civil.js","JS","120","0","120","OAB","Direito Constitucional","LINDB e aplicação da lei civil","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-direito-constitucional.js","JS","120","0","120","OAB","Direito Constitucional","Princípios fundamentais e interpretação constitucional","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-direito-penal.js","JS","120","0","120","OAB","Direito Constitucional","Princ[caractere ilegivel]pios penais e lei penal","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-etica-comentada.js","JS","120","0","120","OAB","Direito Constitucional","Inscri[caractere ilegivel][caractere ilegivel]o, atividade privativa e atos de advocacia","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-processo-civil.js","JS","120","0","120","OAB","Direito Constitucional","Jurisdi[caractere ilegivel][caractere ilegivel]o, a[caractere ilegivel][caractere ilegivel]o e pressupostos processuais","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-processo-penal.js","JS","120","0","120","OAB","Direito Constitucional","Inquérito policial e investigação","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-simulado-completo.js","JS","120","0","120","OAB","Direito Constitucional","Ética profissional e Estatuto da Advocacia no simulado","15","105","0","sim","não","não"
"src/data/apostilas/oab-1fase-trabalho-processo-trabalho.js","JS","120","0","120","OAB","Direito Constitucional","Relação de emprego e contrato de trabalho","15","105","0","sim","não","não"
"src/data/apostilas/oab-2fase-espelhos-correcao.js","JS","120","0","120","OAB","Direito Constitucional","Como o espelho distribui pontos","15","105","0","sim","não","não"
"src/data/apostilas/oab-2fase-pecas-praticas.js","JS","120","0","120","OAB","Direito Constitucional","Diagnóstico da peça e leitura do problema","15","105","0","sim","não","não"
"src/data/apostilas/oab-2fase-treino-discursivas.js","JS","120","0","120","OAB","Direito Constitucional","Método IRAC adaptado à OAB","15","105","0","sim","não","não"
"src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","JS","120","0","120","Guarda Municipal","Raciocínio Lógico-Matemático","tranquilidade, salubridade, paz social, direitos e preven[caractere ilegivel][caractere ilegivel]o","42","78","0","sim","não","não"
"src/data/apostilas/organizacao-judiciaria.js","JS","120","0","120","Tribunais","Direito Constitucional","organiza[caractere ilegivel][caractere ilegivel]o do Judici[caractere ilegivel]rio como fun[caractere ilegivel][caractere ilegivel]o estatal de solu[caractere ilegivel][caractere ilegivel]o de conflitos e controle de direitos","51","69","0","sim","não","não"
"src/data/apostilas/pmma-caderno-de-erros-inteligente.js","JS","140","0","140","Polícia Militar","Raciocínio Lógico-Matemático","todo erro por comando nasce de não separar o que a questão pergunta do que ela informa","70","70","0","sim","não","não"
"src/data/apostilas/pmma-revisao-de-vespera.js","JS","140","0","140","Polícia Militar","Raciocínio Lógico-Matemático","v[caractere ilegivel]spera serve para consolidar pontos de alto retorno, n[caractere ilegivel]o para tentar estudar tudo do zero","70","70","0","sim","não","não"
"src/data/apostilas/pmma-simulado-final-completo.js","JS","140","0","140","Polícia Militar","Língua Portuguesa","interpreta[caractere ilegivel][caractere ilegivel]o, coes[caractere ilegivel]o, pontua[caractere ilegivel][caractere ilegivel]o e reescrita precisam preservar sentido e comando","70","70","0","sim","não","não"
"src/data/apostilas/policia-comunitaria-mediacao-conflitos.js","JS","120","0","120","Guarda Municipal","Raciocínio Lógico-Matemático","aproximação, confiança, corresponsabilidade e prevenção orientada ao problema","42","78","2","sim","não","não"
"src/data/apostilas/policia-penal-base-de-estudos.js","JS","140","0","140","Polícia Militar","Direito Constitucional","polícia penal atua na segurança dos estabelecimentos penais e custódia legal","70","70","0","sim","não","não"
"src/data/apostilas/portugues-avancado.js","JS","80","0","80","OAB","Ética Profissional","leitura estrat[caractere ilegivel]gica","40","40","0","sim","não","não"
"src/data/apostilas/prf-base-de-estudos.js","JS","140","0","140","Polícia Militar","Direito Penal","PRF atua na seguran[caractere ilegivel]a p[caractere ilegivel]blica e vi[caractere ilegivel]ria em rodovias e [caractere ilegivel]reas de interesse federal conforme compet[caractere ilegivel]ncia","70","70","0","sim","não","não"
"src/data/apostilas/redacao-concursos-policiais.js","JS","80","0","80","OAB","Direito Constitucional","montagem do texto dissertativo para banca policial","40","40","0","sim","não","não"
"src/data/apostilas/regimentos-internos-tribunais.js","JS","120","0","120","Tribunais","Direito Administrativo","m[caractere ilegivel]todo para transformar artigos regimentais em mapa de compet[caractere ilegivel]ncia e procedimento","51","69","0","sim","não","não"
"src/data/apostilas/seguranca-publica-avancada-simulados.js","JS","140","0","140","Polícia Militar","Direito Constitucional","seguran[caractere ilegivel]a p[caractere ilegivel]blica como dever do Estado e responsabilidade de todos, com [caractere ilegivel]rg[caractere ilegivel]os e compet[caractere ilegivel]ncias distintos","70","70","0","sim","não","não"
"src/data/apostilas/uso-diferenciado-da-forca-atuacao-policial.js","JS","120","0","120","Guarda Municipal","Raciocínio Lógico-Matemático","for[caractere ilegivel]a como meio excepcional, progressivo, controlado e justific[caractere ilegivel]vel","42","78","0","sim","não","não"
