"caminho","motivo","impacto","podeAparecer","acao","prioridade","responsavel"
"src/data/apostilas/filosofia-direito.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/flashcards-premium-disciplina.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/gestao-pessoas-servico-publico.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/governanca-integridade-compliance-publico.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/guarda-municipal-base-de-estudos.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/index.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/informatica.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/legislacao-penal-especial.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"src/data/apostilas/licitacoes-contratos-modulo-exclusivo.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/linguagens-enem.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/mapas-mentais-textuais-disciplina.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/matematica-basica.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/oab-1fase-etica-comentada.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/oab-1fase-simulado-completo.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/oab-1fase-trabalho-processo-trabalho.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/oab-2fase-espelhos-correcao.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/oab-2fase-pecas-praticas.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/organizacao-judiciaria.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/plano-estudo-por-objetivo.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/prf-base-de-estudos.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/raciocinio-logico.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/redacao.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/regimentos-internos-tribunais.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/revisao-24h-prova.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/revisao-7-dias-prova.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/revisao-enem-vespera.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/seguranca-publica-avancada-simulados.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/simulados-por-banca.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/simulados-por-concurso.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/simulados-por-nivel.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/taf.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/uso-diferenciado-da-forca-atuacao-policial.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"storage/content/leis/cdc/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cdc/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cdc/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cf88/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cf88/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cf88/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/clt/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/clt/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/clt/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/codigo-civil/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/codigo-civil/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/codigo-civil/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/codigo-penal/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/codigo-penal/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/codigo-penal/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cpc/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cpc/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cpc/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cpp/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cpp/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/cpp/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/ctn/artigos.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/ctn/meta.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/ctn/texto.txt","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/leis/index.json","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/gabaritos/cbmal-soldado-combatente-2018-cebraspe-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/provas/cbmal-soldado-combatente-2018-cebraspe-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmal-soldado-combatente-2018-cebraspe/questoes/questoes-extraidas.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/gabaritos/cbmam-soldado-bombeiro-militar-2021-fgv-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/provas/cbmam-soldado-bombeiro-militar-2021-fgv-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/cbmam-soldado-bombeiro-militar-2021-fgv/questoes/questoes-extraidas.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pcam-delegado-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pcrj-inspetor-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pcrj-investigador-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pcrn-delegado-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pcsc-delegado-2024-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-ba-soldado-2023-fcc/gabaritos/pm-ba-soldado-2023-fcc-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-ba-soldado-2023-fcc/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-ba-soldado-2023-fcc/provas/pm-ba-soldado-2023-fcc-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/gabaritos/pm-pb-soldado-pm-combatente-2023-ibfc-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-pb-soldado-pm-combatente-2023-ibfc/provas/pm-pb-soldado-pm-combatente-2023-ibfc-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/gabaritos/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pm-se-soldado-pm-3a-classe-combatente-2025-selecon/provas/pm-se-soldado-pm-3a-classe-combatente-2025-selecon-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmac-oficial-combatente-2023-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/gabaritos/pmal-soldado-combatente-2018-cebraspe-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/provas/pmal-soldado-combatente-2018-cebraspe-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmal-soldado-combatente-2018-cebraspe/questoes/questoes-extraidas.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmam-oficial-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmam-soldado-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmce-soldado-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmerj-cfo-2021-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmesp-cabo-2022-fgv-local/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmesp-sargento-2024-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmpb-cfo-2022-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/gabaritos/pmpi-soldado-pm-2017-nucepe-uespi-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/provas/pmpi-soldado-pm-2017-nucepe-uespi-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/gabaritos/pmsp-cabo-pm-2022-fgv-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-cabo-pm-2022-fgv/provas/pmsp-cabo-pm-2022-fgv-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2017-vunesp/gabaritos/pmsp-soldado-2017-vunesp-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2017-vunesp/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2017-vunesp/provas/pmsp-soldado-2017-vunesp-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2023-vunesp/gabaritos/pmsp-soldado-2023-vunesp-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2023-vunesp/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2023-vunesp/provas/pmsp-soldado-2023-vunesp-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2024-fgv/gabaritos/pmsp-soldado-2024-fgv-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2024-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2024-fgv/provas/pmsp-soldado-2024-fgv-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2025-fgv/gabaritos/pmsp-soldado-2025-fgv-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2025-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmsp-soldado-2025-fgv/provas/pmsp-soldado-2025-fgv-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/gabaritos/pmto-quadro-de-pracas-da-policia-militar-2025-fgv-gabarito-definitivo.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/provas/pmto-quadro-de-pracas-da-policia-militar-2025-fgv-prova.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/10-exame/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/11-exame/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/12-exame/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/13-exame/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/14-exame/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/15-exame/metadata.json","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
"storage/content/oab/15-exame/provas/caderno-de-provas-direito-civil-sar2hr.pdf","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Alta","conteudo/taxonomia"
