"contentId","caminho","tipo","objetivo","disciplina","assunto","interface","acao","quarentena","prioridade"
"content:src-data-apostilas-direito-digital-lgpd-crimes-ciberneticos-js","src/data/apostilas/direito-digital-lgpd-crimes-ciberneticos.js","apostila/módulo","Tribunais","Direito Penal","No[caractere ilegivel][caractere ilegivel]es iniciais de Direito Digital","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-eleitoral-avancado-js","src/data/apostilas/direito-eleitoral-avancado.js","apostila/módulo","OAB","Direito Eleitoral","Direitos políticos e alistamento","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-direito-eleitoral-js","src/data/apostilas/direito-eleitoral.js","apostila/módulo","Tribunais","Direito Eleitoral","Direitos pol[caractere ilegivel]ticos, soberania popular, alistamento e voto","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-direito-empresarial-avancado-js","src/data/apostilas/direito-empresarial-avancado.js","apostila/módulo","OAB","Direito Empresarial","Empresa, empresário e estabelecimento","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-empresarial-js","src/data/apostilas/direito-empresarial.js","apostila/módulo","OAB","Direito Empresarial","Empres[caractere ilegivel]rio e empresa","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-financeiro-avancado-js","src/data/apostilas/direito-financeiro-avancado.js","apostila/módulo","OAB","Direito Financeiro","Atividade financeira do Estado","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-financeiro-js","src/data/apostilas/direito-financeiro.js","apostila/módulo","OAB","Direito Financeiro","Direito Financeiro: conceito, objeto, fontes e autonomia","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-internacional-avancado-js","src/data/apostilas/direito-internacional-avancado.js","apostila/módulo","OAB","Direito Internacional","Fontes do Direito Internacional","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-internacional-js","src/data/apostilas/direito-internacional.js","apostila/módulo","Tribunais","Direito Internacional","Fontes, sujeitos e princ[caractere ilegivel]pios do Direito Internacional P[caractere ilegivel]blico","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-penal-militar-avancado-js","src/data/apostilas/direito-penal-militar-avancado.js","apostila/módulo","Corpo de Bombeiros","Direito Penal Militar","hierarquia, disciplina, regularidade das institui[caractere ilegivel][caractere ilegivel]es militares e prote[caractere ilegivel][caractere ilegivel]o do servi[caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-penal-militar-js","src/data/apostilas/direito-penal-militar.js","apostila/módulo","","Direito Penal Militar","Conceito de crime militar","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-penal-parte-especial-avancado-js","src/data/apostilas/direito-penal-parte-especial-avancado.js","apostila/módulo","OAB","Direito Penal","vida humana como bem jur[caractere ilegivel]dico, diferen[caractere ilegivel]a entre matar, induzir, auxiliar e criar situa[caractere ilegivel][caractere ilegivel]o de risco extremo","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-penal-parte-geral-avancado-js","src/data/apostilas/direito-penal-parte-geral-avancado.js","apostila/módulo","OAB","Direito Penal","limites do poder punitivo","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-penal-parte-geral-js","src/data/apostilas/direito-penal-parte-geral.js","apostila/módulo","","Direito Penal","Princ[caractere ilegivel]pios penais","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-previdenciario-avancado-js","src/data/apostilas/direito-previdenciario-avancado.js","apostila/módulo","OAB","Direito Previdenciário","Seguridade Social e Previdência","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-previdenciario-js","src/data/apostilas/direito-previdenciario.js","apostila/módulo","OAB","Direito Previdenciário","Seguridade Social, Previdência Social e RGPS","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-processual-civil-avancado-js","src/data/apostilas/direito-processual-civil-avancado.js","apostila/módulo","OAB","Direito Processual Civil","Princ[caractere ilegivel]pios processuais, acesso [caractere ilegivel] justi[caractere ilegivel]a e coopera[caractere ilegivel][caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-processual-civil-js","src/data/apostilas/direito-processual-civil.js","apostila/módulo","","Direito Processual Civil","Princ[caractere ilegivel]pios processuais civis","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-processual-penal-avancado-js","src/data/apostilas/direito-processual-penal-avancado.js","apostila/módulo","OAB","Direito Processual Penal","procedimento investigativo, informatividade, sigilo, contraditório diferido e justa causa","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-processual-penal-militar-avancado-js","src/data/apostilas/direito-processual-penal-militar-avancado.js","apostila/módulo","Corpo de Bombeiros","Direito Processual Penal Militar","apura[caractere ilegivel][caractere ilegivel]o de crime militar, documenta[caractere ilegivel][caractere ilegivel]o, preserva[caractere ilegivel][caractere ilegivel]o de prova e relat[caractere ilegivel]rio","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-processual-penal-militar-js","src/data/apostilas/direito-processual-penal-militar.js","apostila/módulo","","Direito Processual Penal Militar","Inqu[caractere ilegivel]rito Policial Militar","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-processual-penal-js","src/data/apostilas/direito-processual-penal.js","apostila/módulo","","Direito Processual Penal","Princ[caractere ilegivel]pios processuais","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-processual-trabalho-avancado-js","src/data/apostilas/direito-processual-trabalho-avancado.js","apostila/módulo","OAB","","Compet[caractere ilegivel]ncia da Justi[caractere ilegivel]a do Trabalho","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-processual-trabalho-js","src/data/apostilas/direito-processual-trabalho.js","apostila/módulo","OAB","","Princ[caractere ilegivel]pios processuais trabalhistas","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-trabalho-avancado-js","src/data/apostilas/direito-trabalho-avancado.js","apostila/módulo","OAB","Direito do Trabalho","Relação de emprego e trabalho autônomo","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-trabalho-js","src/data/apostilas/direito-trabalho.js","apostila/módulo","OAB","Direito do Trabalho","Princ[caractere ilegivel]pios trabalhistas","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-tributario-avancado-js","src/data/apostilas/direito-tributario-avancado.js","apostila/módulo","OAB","Direito Tributário","Sistema tribut[caractere ilegivel]rio e esp[caractere ilegivel]cies tribut[caractere ilegivel]rias","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-tributario-js","src/data/apostilas/direito-tributario.js","apostila/módulo","Tribunais","Direito Tributário","Sistema Tribut[caractere ilegivel]rio Nacional e conceito de tributo","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direitos-humanos-atividade-policial-casos-praticos-js","src/data/apostilas/direitos-humanos-atividade-policial-casos-praticos.js","apostila/módulo","PRF","Direitos Humanos","abordagem leg[caractere ilegivel]tima precisa de base objetiva, urbanidade, busca limitada e registro quando necess[caractere ilegivel]rio","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direitos-humanos-avancado-js","src/data/apostilas/direitos-humanos-avancado.js","apostila/módulo","OAB","Direitos Humanos","fundamentos dos direitos humanos","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direitos-humanos-js","src/data/apostilas/direitos-humanos.js","apostila/módulo","","Direitos Humanos","Teoria geral dos direitos humanos","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-eca-avancado-js","src/data/apostilas/eca-avancado.js","apostila/módulo","OAB","","Proteção integral e prioridade absoluta","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-eca-js","src/data/apostilas/eca.js","apostila/módulo","OAB","","Princ[caractere ilegivel]pios estruturantes do ECA","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-etica-profissional-oab-js","src/data/apostilas/etica-profissional-oab.js","apostila/módulo","OAB","","Regras deontol[caractere ilegivel]gicas fundamentais","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-etica-js","src/data/apostilas/etica.js","apostila/módulo","","","Teoria da [caractere ilegivel]tica","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-filosofia-direito-js","src/data/apostilas/filosofia-direito.js","apostila/módulo","","Filosofia","Conceito de Filosofia do Direito, dogm[caractere ilegivel]tica jur[caractere ilegivel]dica e pensamento cr[caractere ilegivel]tico","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-filosofia-enem-js","src/data/apostilas/filosofia-enem.js","apostila/módulo","ENEM","Filosofia","Origem da filosofia e passagem do mito ao logos","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-fisica-enem-js","src/data/apostilas/fisica-enem.js","apostila/módulo","ENEM","Física","Cinem[caractere ilegivel]tica, gr[caractere ilegivel]ficos e movimento","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-flashcards-premium-disciplina-js","src/data/apostilas/flashcards-premium-disciplina.js","flashcards","OAB","","Como criar flashcards que ensinam","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-geografia-enem-js","src/data/apostilas/geografia-enem.js","apostila/módulo","ENEM","Geografia","Cartografia, escala e orienta[caractere ilegivel][caractere ilegivel]o espacial","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-gestao-pessoas-servico-publico-js","src/data/apostilas/gestao-pessoas-servico-publico.js","apostila/módulo","","","gestão de pessoas como alinhamento entre servidores, competências e entrega pública","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-governanca-integridade-compliance-publico-js","src/data/apostilas/governanca-integridade-compliance-publico.js","apostila/módulo","","","direção, monitoramento e avaliação para entregar valor público com controle","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-guarda-municipal-base-de-estudos-js","src/data/apostilas/guarda-municipal-base-de-estudos.js","apostila/módulo","Guarda Municipal","","guarda municipal protege bens, servi[caractere ilegivel]os e instala[caractere ilegivel][caractere ilegivel]es, com atua[caractere ilegivel][caractere ilegivel]o preventiva e comunit[caractere ilegivel]ria conforme legisla[caractere ilegivel][caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-historia-enem-js","src/data/apostilas/historia-enem.js","apostila/módulo","ENEM","História","Tempo hist[caractere ilegivel]rico, fontes e mem[caractere ilegivel]ria","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-index-js","src/data/apostilas/index.js","apostila/módulo","","","","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-informatica-avancada-js","src/data/apostilas/informatica-avancada.js","apostila/módulo","OAB","Informática","base computacional","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-informatica-js","src/data/apostilas/informatica.js","apostila/módulo","","Informática","Conceitos b[caractere ilegivel]sicos de inform[caractere ilegivel]tica","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-legislacao-institucional-pmma-avancada-js","src/data/apostilas/legislacao-institucional-pmma-avancada.js","apostila/módulo","Polícia Militar","Legislação Institucional PMMA","Estatuto dos Policiais Militares do Maranh[caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-legislacao-institucional-pmma-simulados-comentados-js","src/data/apostilas/legislacao-institucional-pmma-simulados-comentados.js","simulado","Polícia Militar","Legislação Institucional PMMA","estrutura militar estadual, valores, obediência legal e dever funcional","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-legislacao-institucional-pmma-js","src/data/apostilas/legislacao-institucional-pmma.js","apostila/módulo","Polícia Militar","Legislação Institucional PMMA","Legisla[caractere ilegivel][caractere ilegivel]o institucional","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-legislacao-penal-especial-avancada-js","src/data/apostilas/legislacao-penal-especial-avancada.js","apostila/módulo","OAB","Direito Penal","tratamento penal mais rigoroso, equipara[caractere ilegivel][caractere ilegivel]es constitucionais e consequ[caractere ilegivel]ncias processuais","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-legislacao-penal-especial-js","src/data/apostilas/legislacao-penal-especial.js","apostila/módulo","","Direito Penal","Lei de Drogas","direct-ui-connection","manter e validar filtro objetivo","sim","Urgente"
"content:src-data-apostilas-legislacao-pmma-questoes-por-artigo-js","src/data/apostilas/legislacao-pmma-questoes-por-artigo.js","banco de questões","Polícia Militar","Legislação Institucional PMMA","miss[caractere ilegivel]o, hierarquia e disciplina formam a base da organiza[caractere ilegivel][caractere ilegivel]o militar estadual","direct-ui-connection","manter e validar filtro objetivo","nao","Urgente"
"content:src-data-apostilas-licitacoes-contratos-modulo-exclusivo-js","src/data/apostilas/licitacoes-contratos-modulo-exclusivo.js","apostila/módulo","","Direito Administrativo","licitação como instrumento para contratar solução vantajosa e controlar risco","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-linguagens-enem-js","src/data/apostilas/linguagens-enem.js","apostila/módulo","ENEM","","Interpretação de textos verbais e não verbais","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-mapas-mentais-textuais-disciplina-js","src/data/apostilas/mapas-mentais-textuais-disciplina.js","mapa mental","OAB","","Portugu[caractere ilegivel]s: interpreta[caractere ilegivel][caractere ilegivel]o, gram[caractere ilegivel]tica e reda[caractere ilegivel][caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-matematica-basica-js","src/data/apostilas/matematica-basica.js","apostila/módulo","","Raciocínio Lógico-Matemático","Aritm[caractere ilegivel]tica b[caractere ilegivel]sica","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-matematica-enem-js","src/data/apostilas/matematica-enem.js","apostila/módulo","ENEM","Raciocínio Lógico-Matemático","Raz[caractere ilegivel]o, propor[caractere ilegivel][caractere ilegivel]o, escala e regra de tr[caractere ilegivel]s","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-matematica-raciocinio-logico-avancado-js","src/data/apostilas/matematica-raciocinio-logico-avancado.js","apostila/módulo","OAB","Raciocínio Lógico-Matemático","l[caractere ilegivel]gica proposicional","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-direito-administrativo-js","src/data/apostilas/oab-1fase-direito-administrativo.js","apostila/módulo","OAB","Direito Administrativo","Princípios administrativos e regime jurídico","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-direito-civil-js","src/data/apostilas/oab-1fase-direito-civil.js","apostila/módulo","OAB","Direito Civil","LINDB e aplicação da lei civil","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-direito-constitucional-js","src/data/apostilas/oab-1fase-direito-constitucional.js","apostila/módulo","OAB","Direito Constitucional","Princípios fundamentais e interpretação constitucional","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-direito-penal-js","src/data/apostilas/oab-1fase-direito-penal.js","apostila/módulo","OAB","Direito Penal","Princ[caractere ilegivel]pios penais e lei penal","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-etica-comentada-js","src/data/apostilas/oab-1fase-etica-comentada.js","apostila/módulo","OAB","","Inscri[caractere ilegivel][caractere ilegivel]o, atividade privativa e atos de advocacia","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-oab-1fase-processo-civil-js","src/data/apostilas/oab-1fase-processo-civil.js","apostila/módulo","OAB","Direito Processual Civil","Jurisdi[caractere ilegivel][caractere ilegivel]o, a[caractere ilegivel][caractere ilegivel]o e pressupostos processuais","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-processo-penal-js","src/data/apostilas/oab-1fase-processo-penal.js","apostila/módulo","OAB","Direito Processual Penal","Inquérito policial e investigação","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-oab-1fase-simulado-completo-js","src/data/apostilas/oab-1fase-simulado-completo.js","simulado","OAB","","Ética profissional e Estatuto da Advocacia no simulado","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-oab-1fase-trabalho-processo-trabalho-js","src/data/apostilas/oab-1fase-trabalho-processo-trabalho.js","apostila/módulo","OAB","","Relação de emprego e contrato de trabalho","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-oab-2fase-espelhos-correcao-js","src/data/apostilas/oab-2fase-espelhos-correcao.js","redação","OAB","","Como o espelho distribui pontos","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-oab-2fase-pecas-praticas-js","src/data/apostilas/oab-2fase-pecas-praticas.js","redação","OAB","","Diagnóstico da peça e leitura do problema","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-oab-2fase-treino-discursivas-js","src/data/apostilas/oab-2fase-treino-discursivas.js","apostila/módulo","OAB","Redação","Método IRAC adaptado à OAB","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-ordem-publica-defesa-social-seguranca-cidada-js","src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","apostila/módulo","Guarda Municipal","","tranquilidade, salubridade, paz social, direitos e preven[caractere ilegivel][caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-organizacao-judiciaria-js","src/data/apostilas/organizacao-judiciaria.js","apostila/módulo","","","organiza[caractere ilegivel][caractere ilegivel]o do Judici[caractere ilegivel]rio como fun[caractere ilegivel][caractere ilegivel]o estatal de solu[caractere ilegivel][caractere ilegivel]o de conflitos e controle de direitos","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-plano-estudo-por-objetivo-js","src/data/apostilas/plano-estudo-por-objetivo.js","apostila/módulo","OAB","","Onboarding do aluno","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-pmma-caderno-de-erros-inteligente-js","src/data/apostilas/pmma-caderno-de-erros-inteligente.js","apostila/módulo","Polícia Militar","Legislação Institucional PMMA","todo erro por comando nasce de não separar o que a questão pergunta do que ela informa","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-pmma-revisao-de-vespera-js","src/data/apostilas/pmma-revisao-de-vespera.js","apostila/módulo","Polícia Militar","Legislação Institucional PMMA","v[caractere ilegivel]spera serve para consolidar pontos de alto retorno, n[caractere ilegivel]o para tentar estudar tudo do zero","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-pmma-simulado-final-completo-js","src/data/apostilas/pmma-simulado-final-completo.js","simulado","Polícia Militar","Legislação Institucional PMMA","interpreta[caractere ilegivel][caractere ilegivel]o, coes[caractere ilegivel]o, pontua[caractere ilegivel][caractere ilegivel]o e reescrita precisam preservar sentido e comando","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
